"饥
5 画",3 5 5 3 5,0299,09965
"主
5 画",4 1 1 2 1,0300,04E3B
"冮
5 画",4 1 1 2 1,6514,051AE
汉字,,《字表》序号,UCS
"市
5 画",4 1 2 5 2,0301,05E02
"邝
5 画",4 1 3 5 2,3551,0909D
"立
5 画",4 1 4 3 1,0302,07ACB
"冯
5 画",4 1 5 5 1,0303,051AF
"邙
5 画",4 1 5 5 2,3552,09099
"玄
5 画",4 1 5 5 4,0304,07384
"闪
5 画",4 2 5 3 4,0305,095EA
"兰
5 画",4 3 1 1 1,0306,05170
"半
5 画",4 3 1 1 2,0307,0534A
"汁
5 画",4 4 1 1 2,0308,06C41
"汀
5 画",4 4 1 1 2,3553,06C40
"汇
5 画",4 4 1 1 5,0309,06C47
"头
5 画",4 4 1 3 4,0310,05934
"氿
5 画",4 4 1 3 5,6515,06C3F
"汈
5 画",4 4 1 5 1,6516,06C48
"汉
5 画",4 4 1 5 4,0311,06C49
"氾
5 画",4 4 1 5 5,6517,06C3E
"忉
5 画",4 4 2 5 3,6518,05FC9
"宁
5 画",4 4 5 1 2,0312,05B81
"穴
5 画",4 4 5 3 4,0313,07A74
"它
5 画",4 4 5 3 5,0314,05B83
"宄
5 画",4 4 5 3 5,6519,05B84
"讦
5 画",4 5 1 1 2,3554,08BA6
"𬣙
5 画",4 5 1 1 2,6520,2C8D9
"讧
5 画",4 5 1 2 1,3555,08BA7
"讨
5 画",4 5 1 2 4,0315,08BA8
汉字,,《字表》序号,UCS
"写
5 画",4 5 1 5 1,0316,05199
"让
5 画",4 5 2 1 1,0317,08BA9
"礼
5 画",4 5 2 4 5,0318,0793C
"讪
5 画",4 5 2 5 2,3556,08BAA
"讫
5 画",4 5 3 1 5,3557,08BAB
"训
5 画",4 5 3 2 2,0319,08BAD
"议
5 画",4 5 4 3 4,0320,08BAE
"必
5 画",4 5 4 3 4,0321,05FC5
"讯
5 画",4 5 5 1 2,0322,08BAF
"记
5 画",4 5 5 1 5,0323,08BB0
"永
5 画",4 5 5 3 4,0324,06C38
"讱
5 画",4 5 5 3 4,6521,08BB1
"司
5 画",5 1 2 5 1,0325,053F8
"尼
5 画",5 1 3 3 5,0326,05C3C
"尻
5 画",5 1 3 3 5,3558,05C3B
"民
5 画",5 1 5 1 5,0327,06C11
"弗
5 画",5 1 5 3 2,0328,05F17
"弘
5 画",5 1 5 5 4,0329,05F18
"出
5 画",5 2 2 5 2,0330,051FA
"阡
5 画",5 2 3 1 2,3559,09621
"辽
5 画",5 2 4 5 4,0331,08FBD
"奶
5 画",5 3 1 5 3,0332,05976
"奴
5 画",5 3 1 5 4,0333,05974
"尕
5 画",5 3 2 3 4,3560,05C15
"召
5 画",5 3 2 5 1,0334,053EC
"加
5 画",5 3 2 5 1,0335,052A0
"皮
5 画",5 3 2 5 4,0336,076AE
"边
5 画",5 3 4 5 4,0337,08FB9
"孕
5 画",5 3 5 2 1,0338,05B55
"发
5 画",5 3 5 4 4,0339,053D1
"圣
5 画",5 4 1 2 1,0340,05723
"对
5 画",5 4 1 2 4,0341,05BF9
"弁
5 画",5 4 1 3 2,3561,05F01
"台
5 画",5 4 2 5 1,0342,053F0
"矛
5 画",5 4 5 2 3,0343,077DB
"纠
5 画",5 5 1 5 2,0344,07EA0
"驭
5 画",5 5 1 5 4,3562,09A6D
"母
5 画",5 5 4 1 4,0345,06BCD
"幼
5 画",5 5 4 5 3,0346,05E7C
"丝
5 画",5 5 5 5 1,0347,04E1D
"匡
6 画",1 1 1 2 1 5,3563,05321
"耒
6 画",1 1 1 2 3 4,3564,08012
"邦
6 画",1 1 1 3 5 2,0348,090A6
"玎
6 画",1 1 2 1 1 2,3565,0738E
"玑
6 画",1 1 2 1 3 5,3566,07391
"式
6 画",1 1 2 1 5 4,0349,05F0F
"迂
6 画",1 1 2 4 5 4,0350,08FC2
"刑
6 画",1 1 3 2 2 2,0351,05211
"邢
6 画",1 1 3 2 5 2,3567,090A2
"戎
6 画",1 1 3 5 3 4,0352,0620E
"动
6 画",1 1 5 4 5 3,0353,052A8
"圩
6 画",1 2 1 1 1 2,3568,05729
汉字,,《字表》序号,UCS
"扞
6 画",1 2 1 1 1 2,6522,0625E
"圬
6 画",1 2 1 1 1 5,3569,0572C
"圭
6 画",1 2 1 1 2 1,3570,0572D
"扛
6 画",1 2 1 1 2 1,0354,0625B
"寺
6 画",1 2 1 1 2 4,0355,05BFA
"吉
6 画",1 2 1 2 5 1,0356,05409
"扣
6 画",1 2 1 2 5 1,0357,06263
"圲
6 画",1 2 1 3 1 2,6523,05732
"扦
6 画",1 2 1 3 1 2,3571,06266
"考
6 画",1 2 1 3 1 5,0358,08003
"圫
6 画",1 2 1 3 1 5,6524,0572B
"圪
6 画",1 2 1 3 1 5,3572,0572A
"托
6 画",1 2 1 3 1 5,0359,06258
"圳
6 画",1 2 1 3 2 2,3573,05733
"老
6 画",1 2 1 3 3 5,0360,08001
"巩
6 画",1 2 1 3 5 4,0361,05DE9
"圾
6 画",1 2 1 3 5 4,0362,0573E
"执
6 画",1 2 1 3 5 4,0363,06267
"圹
6 画",1 2 1 4 1 3,3574,05739
"扩
6 画",1 2 1 4 1 3,0364,06269
"扪
6 画",1 2 1 4 2 5,3575,0626A
"扫
6 画",1 2 1 5 1 1,0365,0626B
"圮
6 画",1 2 1 5 1 5,3576,0572E
"圯
6 画",1 2 1 5 1 5,3577,0572F
"地
6 画",1 2 1 5 2 5,0366,05730
"场
6 画",1 2 1 5 3 3,0367,0573A
汉字,,《字表》序号,UCS
"扬
6 画",1 2 1 5 3 3,0368,0626C
"耳
6 画",1 2 2 1 1 1,0369,08033
"芋
6 画",1 2 2 1 1 2,0370,0828B
"芏
6 画",1 2 2 1 2 1,6525,0828F
"共
6 画",1 2 2 1 3 4,0371,05171
"芊
6 画",1 2 2 3 1 2,3578,0828A
"芍
6 画",1 2 2 3 5 4,3579,0828D
"芃
6 画",1 2 2 3 5 4,6526,08283
"芄
6 画",1 2 2 3 5 4,3580,08284
"芨
6 画",1 2 2 3 5 4,3581,082A8
"芒
6 画",1 2 2 4 1 5,0372,08292
"亚
6 画",1 2 2 4 3 1,0373,04E9A
"芝
6 画",1 2 2 4 5 4,0374,0829D
"芑
6 画",1 2 2 5 1 5,3582,08291
"芎
6 画",1 2 2 5 1 5,3583,0828E
"芗
6 画",1 2 2 5 5 3,3584,08297
"朽
6 画",1 2 3 4 1 5,0375,0673D
"朴
6 画",1 2 3 4 2 4,0376,06734
"朳
6 画",1 2 3 4 3 4,6527,06733
"机
6 画",1 2 3 4 3 5,0377,0673A
"朸
6 画",1 2 3 4 5 3,6528,06738
"权
6 画",1 2 3 4 5 4,0378,06743
"过
6 画",1 2 4 4 5 4,0379,08FC7
"亘
6 画",1 2 5 1 1 1,3585,04E98
"臣
6 画",1 2 5 1 2 5,0380,081E3
"吏
6 画",1 2 5 1 3 4,0381,0540F
汉字,,《字表》序号,UCS
"再
6 画",1 2 5 2 1 1,0382,0518D
"协
6 画",1 2 5 3 4 4,0383,0534F
"西
6 画",1 2 5 3 5 1,0384,0897F
"𨙸
6 画",1 2 5 4 5 2,6529,28678
"压
6 画",1 3 1 2 1 4,0385,0538B
"厌
6 画",1 3 1 3 4 4,0386,0538C
"厍
6 画",1 3 1 5 1 2,3586,0538D
"戌
6 画",1 3 1 5 3 4,0387,0620C
"在
6 画",1 3 2 1 2 1,0388,05728
"百
6 画",1 3 2 5 1 1,0389,0767E
"有
6 画",1 3 2 5 1 1,0390,06709
"存
6 画",1 3 2 5 2 1,0391,05B58
"而
6 画",1 3 2 5 2 2,0392,0800C
"页
6 画",1 3 2 5 3 4,0393,09875
"匠
6 画",1 3 3 1 2 5,0394,05320
"夸
6 画",1 3 4 1 1 5,0395,05938
"夺
6 画",1 3 4 1 2 4,0396,0593A
"夼
6 画",1 3 4 3 2 2,3587,0593C
"灰
6 画",1 3 4 3 3 4,0397,07070
"达
6 画",1 3 4 4 5 4,0398,08FBE
"戍
6 画",1 3 4 5 3 4,3588,0620D
"尥
6 画",1 3 5 3 5 4,3589,05C25
"列
6 画",1 3 5 4 2 2,0399,05217
"死
6 画",1 3 5 4 3 5,0400,06B7B
"成
6 画",1 3 5 5 3 4,0401,06210
"夹
6 画",1 4 3 1 3 4,0402,05939
汉字,,《字表》序号,UCS
"夷
6 画",1 5 1 5 3 4,0403,05937
"轨
6 画",1 5 2 1 3 5,0404,08F68
"邪
6 画",1 5 2 3 5 2,0405,090AA
"邨
6 画",1 5 2 5 5 2,6530,090A8
"尧
6 画",1 5 3 1 3 5,0406,05C27
"划
6 画",1 5 3 4 2 2,0407,05212
"迈
6 画",1 5 3 4 5 4,0408,08FC8
"毕
6 画",1 5 3 5 1 2,0409,06BD5
"至
6 画",1 5 4 1 2 1,0410,081F3
"此
6 画",2 1 2 1 3 5,0411,06B64
"乩
6 画",2 1 2 5 1 5,3590,04E69
"贞
6 画",2 1 2 5 3 4,0412,08D1E
"师
6 画",2 3 1 2 5 2,0413,05E08
"尘
6 画",2 3 4 1 2 1,0414,05C18
"尖
6 画",2 3 4 1 3 4,0415,05C16
"劣
6 画",2 3 4 3 5 3,0416,052A3
"光
6 画",2 4 3 1 3 5,0417,05149
"当
6 画",2 4 3 5 1 1,0418,05F53
"早
6 画",2 5 1 1 1 2,0419,065E9
"吁
6 画",2 5 1 1 1 2,0420,05401
"吐
6 画",2 5 1 1 2 1,0421,05410
"吓
6 画",2 5 1 1 2 4,0422,05413
"旯
6 画",2 5 1 1 3 5,3591,065EF
"曳
6 画",2 5 1 1 5 3,3592,066F3
"虫
6 画",2 5 1 2 1 4,0423,0866B
"曲
6 画",2 5 1 2 2 1,0424,066F2
汉字,,《字表》序号,UCS
"团
6 画",2 5 1 2 3 1,0425,056E2
"吕
6 画",2 5 1 2 5 1,0426,05415
"同
6 画",2 5 1 2 5 1,0427,0540C
"吊
6 画",2 5 1 2 5 2,0428,0540A
"吒
6 画",2 5 1 3 1 5,6531,05412
"吃
6 画",2 5 1 3 1 5,0429,05403
"因
6 画",2 5 1 3 4 1,0430,056E0
"吸
6 画",2 5 1 3 5 4,0431,05438
"吖
6 画",2 5 1 4 3 2,6532,05416
"吗
6 画",2 5 1 5 5 1,0432,05417
"吆
6 画",2 5 1 5 5 4,0433,05406
"屼
6 画",2 5 2 1 3 5,6533,05C7C
"屿
6 画",2 5 2 1 5 1,0434,05C7F
"屾
6 画",2 5 2 2 5 2,6534,05C7E
"屹
6 画",2 5 2 3 1 5,0435,05C79
"岁
6 画",2 5 2 3 5 4,0436,05C81
"岌
6 画",2 5 2 3 5 4,3593,05C8C
"帆
6 画",2 5 2 3 5 4,0437,05E06
"辿
6 画",2 5 2 4 5 4,6535,08FBF
"回
6 画",2 5 2 5 1 1,0438,056DE
"屺
6 画",2 5 2 5 1 5,3594,05C7A
"岂
6 画",2 5 2 5 1 5,0439,05C82
"则
6 画",2 5 3 4 2 2,0440,05219
"刚
6 画",2 5 3 4 2 2,0441,0521A
